Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
60	12	0	0.848215883	45.844933	46.7497664	44.7461176	51.2729661	6.52684847	0	0	0	0	0	3
61	12	0	0.862352814	45.9042739	46.6006361	44.7461176	50.6385966	5.89247898	0	0	0	0	0	3
62	12	0	0.876489746	45.8559491	46.4677848	44.7461176	50.0897526	5.34363493	0	0	0	0	0	3
63	12	0	0.890626677	46.0670061	46.3560418	44.7461176	49.1676638	4.42154618	0	0	0	0	0	3
64	13	0	0.904763608	45.8042709	46.2691084	44.7461176	49.1676638	4.42154618	0	0	0	0	0	3
65	13	0	0.91890054	46.3441303	46.1906769	44.7461176	48.1401932	3.39407555	0	0	0	0	0	3
66	13	0	0.933037471	45.9258504	46.1475063	44.7461176	48.1401932	3.39407555	0	0	0	0	0	3
67	13	0	0.947174403	45.8173172	46.0829819	44.7461176	47.7911408	3.04502319	0	0	0	0	0	3
68	13	0	0.961311334	45.582381	46.0548974	44.7461176	47.7911408	3.04502319	0	0	0	0	0	3
69	13	0	0.975448265	45.9112199	46.0026774	44.7461176	47.601025	2.85490735	0	0	0	0	0	3
70	14	0	0.989585197	45.497593	45.9605861	44.7461176	47.601025	2.85490735	0	0	0	0	0	3
71	14	0	1.00372213	45.5240118	45.9028913	44.7461176	47.3573572	2.61123959	1.68490544	0	64.5	0	0	3
72	14	0	1.01785906	45.5207871	45.8518755	44.7461176	47.1528375	2.40671986	1.68490544	0	70	0	0	3
73	14	0	1.03199599	45.5783807	45.8081406	44.7461176	46.4256578	1.67954013	1.68490544	0	100	0	0	3
74	14	0	1.04613292	45.4369583	45.7838754	44.7461176	46.4256578	1.67954013	1.68490544	0	100	0	0	3
75	15	0	1.06026985	45.2254559	45.7505364	44.7461176	46.3496077	1.60349007	1.68490544	0	100	0	0	3
76	15	0	1.07440678	45.2969466	45.7301476	44.7461176	46.3496077	1.60349007	1.68490544	0	100	0	0	3
77	15	0	1.08854372	45.5200578	45.7145959	44.7461176	46.3496077	1.60349007	1.68490544	0	100	0	0	3
78	15	0	1.10268065	45.1763856	45.7083289	44.7461176	46.3496077	1.60349007	1.68490544	0	100	0	0	3
79	15	0	1.11681758	45.6437961	45.7092459	44.7461176	46.3496077	1.60349007	1.68490544	0	100	0	0	3
80	15	0	1.13095451	45.3995099	45.7187767	44.7461176	46.3496077	1.60349007	1.68490544	0	100	0	0	3
81	16	0	1.14509144	45.6664872	45.7252784	44.7461176	46.3496077	1.60349007	1.68490544	0	100	0	0	3
82	16	0	1.15922837	45.3646999	45.7424613	45.1763856	46.3496077	1.17322207	1.68490544	0	100	0	0	3
83	16	0	1.1733653	45.5929748	45.740476	45.1763856	46.3496077	1.17322207	1.68490544	0	100	0	0	3
84	16	0	1.18750224	45.315863	45.7404493	45.1763856	46.3496077	1.17322207	1.68490544	0	100	0	0	3
85	16	0	1.20163917	45.7387936	45.7435544	45.1763856	46.3496077	1.17322207	1.68490544	0	100	0	0	3
86	17	0	1.2157761	45.280923	45.7369448	45.1763856	46.3496077	1.17322207	1.68490544	0	100	0	0	3
87	17	0	1.22991303	45.7531372	45.7348484	45.1763856	46.3496077	1.17322207	1.68490544	0	100	0	0	3
88	17	0	1.24404996	45.4966297	45.7215537	45.1763856	46.3496077	1.17322207	1.68490544	0	100	0	0	3
89	17	0	1.25818689	45.6981841	45.7084105	45.1763856	46.3496077	1.17322207	1.68490544	0	100	0	0	3
90	17	0	1.27232382	45.3581663	45.6829906	45.1763856	46.3496077	1.17322207	1.68490544	0	100	0	0	3
91	17	0	1.28646076	45.6207827	45.6627455	45.1763856	46.3441303	1.16774471	1.68490544	0	100	0	0	3
92	18	0	1.30059769	45.482923	45.6461331	45.1763856	46.3441303	1.16774471	1.68490544	0	100	0	0	3
93	18	0	1.31473462	45.5764286	45.6292741	45.1763856	46.3441303	1.16774471	1.68490544	0	100	0	0	3
94	18	0	1.32887155	44.9713925	45.6089204	44.9713925	46.3441303	1.28351422	1.68490544	0	100	0	0	3
95	18	0	1.34300848	44.9149657	45.5752657	44.9149657	46.3441303	1.17450073	1.68490544	0	100	0	0	3
96	18	0	1.35714541	44.564108	45.5396872	44.564108	46.3441303	1.06094886	1.68490544	0	100	0	0	3
97	19	0	1.37128234	44.9965299	45.5144721	44.564108	46.3441303	0.953312651	1.68490544	0	100	0	0	3
98	19	0	1.38541928	44.6632995	45.481343	44.564108	46.3441303	0.874698848	1.68490544	0	100	0	0	3
99	19	0	1.39955621	44.9848456	45.451283	44.564108	46.3441303	0.817825405	1.68490544	0	100	0	0	3
100	19	0	1.41369314	44.3478356	45.4108264	44.3478356	46.3441303	0.779850456	1.68490544	0	100	0	0	3
101	20	0	1.42783007	44.7096258	45.3654235	44.3478356	45.9258504	0.782082735	1.68490544	0	100	0	0	3
102	20	0	1.441967	44.4086488	45.323279	44.3478356	45.9112199	0.75970289	1.68490544	0	100	0	0	3
103	20	0	1.45610393	44.7636473	45.2940104	44.3478356	45.9112199	0.760887019	1.68490544	0	100	0	0	3
104	20	0	1.47024086	44.688971	45.2691935	44.3478356	45.9112199	0.733483935	1.68490544	0	100	0	0	3
105	20	0	1.4843778	44.6854376	45.235144	44.3478356	45.7531372	0.725442145	1.68490544	0	100	0	0	3
106	20	0	1.49851473	44.5620835	45.2091576	44.3478356	45.7531372	0.693733709	1.68490544	0	100	0	0	3
107	21	0	1.51265166	44.6070359	45.183686	44.3478356	45.7531372	0.668189426	1.68490544	0	100	0	0	3
108	21	0	1.52678859	44.3967784	45.1524636	44.3478356	45.7531372	0.655676981	1.68490544	0	100	0	0	3
109	21	0	1.54092552	44.4904626	45.1222436	44.3478356	45.7531372	0.661631713	1.68490544	0	100	0	0	3
110	21	0	1.55506245	44.6125844	45.0993444	44.3478356	45.7531372	0.651192049	1.68490544	0	100	0	0	3
111	21	0	1.56919938	44.5300479	45.0800275	44.3478356	45.7531372	0.663526928	1.68490544	0	100	0	0	3
112	22	0	1.58333631	44.3756158	45.054435	44.3478356	45.7531372	0.68911945	1.68490544	0	100	0	0	3
113	22	0	1.59747325	44.6881549	45.0313265	44.3478356	45.7531372	0.712227863	1.68490544	0	100	0	0	3
114	22	0	1.61161018	44.2235202	45.0048581	44.2235202	45.7531372	0.738696348	1.68490544	0	100	0	0	3
115	22	0	1.62574711	44.9246318	44.9848813	44.2235202	45.7531372	0.758673134	1.68490544	0	100	0	0	3
116	22	0	1.63988404	44.5015744	44.9599386	44.2235202	45.7531372	0.783615786	1.68490544	0	100	0	0	3
117	22	0	1.65402097	44.9309572	44.9395072	44.2235202	45.7531372	0.804047176	1.68490544	0	100	0	0	3
118	23	0	1.6681579	44.0274269	44.9023608	44.0274269	45.7531372	0.841193648	1.68490544	0	100	0	0	3
119	23	0	1.68229483	44.7829233	44.8798593	44.0274269	45.7531372	0.863695079	1.68490544	0	100	0	0	3
120	23	0	1.69643177	44.2652966	44.8506769	44.0274269	45.7531372	0.892877479	1.68490544	0	100	0	0	3
121	23	0	1.7105687	44.8607403	44.8262866	44.0274269	45.7531372	0.910658202	1.68490544	0	100	0	0	3
122	23	0	1.72470563	44.5410607	44.8057348	44.0274269	45.7531372	0.929113563	1.68490544	0	100	0	0	3
123	24	0	1.73884256	44.8404155	44.7803814	44.0274269	45.6981841	0.941172264	1.68490544	0	100	0	0	3
124	24	0	1.75297949	44.4702199	44.7518701	44.0274269	45.6981841	0.956540439	1.68490544	0	100	0	0	3
125	24	0	1.76711642	44.4862958	44.7182065	44.0274269	45.6207827	0.964784142	1.68490544	0	100	0	0	3
126	24	0	1.78125335	44.4982505	44.6943199	44.0274269	45.6207827	0.968425553	1.68490544	0	100	0	0	3
127	24	0	1.79539029	44.7764116	44.6708652	44.0274269	45.5764286	0.975267882	1.68490544	0	100	0	0	3
128	24	0	1.80952722	44.488407	44.6432398	44.0274269	45.5764286	0.986034348	1.68490544	0	100	0	0	3
129	25	0	1.82366415	44.3959083	44.6104475	44.0274269	44.9965299	0.969103074	1.68490544	0	100	0	0	3
