Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
63	12	0	0.890626677	101157.088	101148.747	101143.744	101157.088	13.3437285	0	0	0	0	0	3
64	13	0	0.904763608	101156.828	101149.047	101143.744	101157.088	13.3437285	0	0	0	0	0	3
65	13	0	0.91890054	101160.26	101149.39	101143.744	101160.26	16.5154666	0	0	0	0	0	3
66	13	0	0.933037471	101158.388	101149.502	101143.744	101160.26	16.5154666	0	0	0	0	0	3
67	13	0	0.947174403	101161.808	101149.744	101143.744	101161.808	18.0633656	0	0	0	0	0	3
68	13	0	0.961311334	101160.42	101149.973	101143.744	101161.808	18.0633656	0	0	0	0	0	3
69	13	0	0.975448265	101160.051	101150.232	101143.744	101161.808	18.0633656	0	0	0	0	0	3
70	14	0	0.989585197	101158.266	101150.53	101143.744	101161.808	18.0633656	0	0	0	0	0	3
71	14	0	1.00372213	101158.189	101150.722	101143.744	101161.808	18.0633656	5.54615542	0	30.7	0	0	3
72	14	0	1.01785906	101156.702	101150.952	101143.744	101161.808	13.9758972	5.54615542	0	39.6	0	0	3
73	14	0	1.03199599	101156.848	101151.216	101143.744	101161.808	13.9758972	5.54615542	0	39.6	0	0	3
74	14	0	1.04613292	101156.827	101151.546	101143.744	101161.808	12.1123218	5.54615542	0	45.7	0	0	3
75	15	0	1.06026985	101157.465	101151.868	101143.744	101161.808	11.027249	5.54615542	0	50.2	0	0	3
76	15	0	1.07440678	101156.524	101152.153	101143.744	101161.808	11.3121203	5.54615542	0	49	0	0	3
77	15	0	1.08854372	101155.03	101152.36	101143.744	101161.808	11.5199958	5.54615542	0	48.1	0	0	3
78	15	0	1.10268065	101154.821	101152.588	101143.744	101161.808	11.7478417	5.54615542	0	47.2	0	0	3
79	15	0	1.11681758	101156.023	101152.894	101143.744	101161.808	12.0533934	5.54615542	0	46	0	0	3
80	15	0	1.13095451	101154.365	101153.161	101143.744	101161.808	12.320856	5.54615542	0	45	0	0	3
81	16	0	1.14509144	101153.485	101153.425	101143.744	101161.808	12.3077431	5.54615542	0	45	0	0	3
82	16	0	1.15922837	101156.241	101153.772	101144.963	101161.808	12.528584	5.54615542	0	44.2	0	0	3
83	16	0	1.1733653	101154.084	101154.025	101146.588	101161.808	12.255892	5.54615542	0	45.2	0	0	3
84	16	0	1.18750224	101152.327	101154.185	101146.611	101161.808	11.7813907	5.54615542	0	47	0	0	3
85	16	0	1.20163917	101152.65	101154.35	101146.611	101161.808	11.3155772	5.54615542	0	49	0	0	3
86	17	0	1.2157761	101153.225	101154.508	101146.611	101161.808	10.5659396	5.54615542	0	52.4	0	0	3
87	17	0	1.22991303	101153.733	101154.691	101146.611	101161.808	10.1862746	5.54615542	0	54.4	0	0	3
88	17	0	1.24404996	101152.455	101154.853	101147.547	101161.808	9.65742006	5.54615542	0	57.4	0	0	3
89	17	0	1.25818689	101154.342	101155.042	101148.602	101161.808	9.30596383	5.54615542	0	59.5	0	0	3
90	17	0	1.27232382	101153.896	101155.182	101148.602	101161.808	8.97098136	5.54615542	0	61.8	0	0	3
91	17	0	1.28646076	101153.206	101155.309	101150.115	101161.808	8.74465735	5.54615542	0	63.4	0	0	3
92	18	0	1.30059769	101153.308	101155.398	101150.27	101161.808	8.4382366	5.54615542	0	65.7	0	0	3
93	18	0	1.31473462	101154.004	101155.448	101150.27	101161.808	8.2430297	5.54615542	0	67.2	0	0	3
94	18	0	1.32887155	101154.589	101155.563	101150.27	101161.808	7.90817372	5.54615542	0	70.1	0	0	3
95	18	0	1.34300848	101155.017	101155.639	101150.27	101161.808	7.7673922	5.54615542	0	71.4	0	0	3
96	18	0	1.35714541	101154.608	101155.759	101152.327	101161.808	7.66337129	5.54615542	0	72.3	0	0	3
97	19	0	1.37128234	101154.089	101155.754	101152.327	101161.808	7.40990539	5.54615542	0	74.8	0	0	3
98	19	0	1.38541928	101155.344	101155.736	101152.327	101161.808	7.01257737	5.54615542	0	79	0	0	3
99	19	0	1.39955621	101153.382	101155.633	101152.327	101161.808	6.71257874	5.54615542	0	82.6	0	0	3
100	19	0	1.41369314	101151.844	101155.495	101151.844	101161.808	6.3695117	5.54615542	0	87	0	0	3
101	20	0	1.42783007	101154.484	101155.334	101151.844	101161.808	6.25718657	5.54615542	0	88.6	0	0	3
102	20	0	1.441967	101153.895	101155.21	101151.844	101161.808	6.01540037	5.54615542	0	92.1	0	0	3
103	20	0	1.45610393	101153.749	101154.986	101151.844	101160.42	5.7868091	5.54615542	0	95.8	0	0	3
104	20	0	1.47024086	101154.209	101154.813	101151.844	101160.051	5.52754272	5.54615542	0	100	0	0	3
105	20	0	1.4843778	101153.343	101154.627	101151.844	101158.266	5.22935842	5.54615542	0	100	0	0	3
106	20	0	1.49851473	101151.504	101154.439	101151.504	101158.189	5.03712777	5.54615542	0	100	0	0	3
107	21	0	1.51265166	101153.91	101154.32	101151.504	101157.465	4.80713593	5.54615542	0	100	0	0	3
108	21	0	1.52678859	101153.466	101154.23	101151.504	101157.465	4.54388522	5.54615542	0	100	0	0	3
109	21	0	1.54092552	101154.309	101154.16	101151.504	101157.465	4.21335069	5.54615542	0	100	0	0	3
110	21	0	1.55506245	101151.838	101154.021	101151.504	101157.465	3.89174493	5.54615542	0	100	0	0	3
111	21	0	1.56919938	101154.367	101153.935	101151.504	101156.524	3.60687367	5.54615542	0	100	0	0	3
112	22	0	1.58333631	101153.013	101153.838	101151.504	101156.241	3.39899814	5.54615542	0	100	0	0	3
113	22	0	1.59747325	101156.337	101153.874	101151.504	101156.337	3.17115227	5.54615542	0	100	0	0	3
114	22	0	1.61161018	101156.459	101153.919	101151.504	101156.459	2.8656005	5.54615542	0	100	0	0	3
115	22	0	1.62574711	101154.81	101153.886	101151.504	101156.459	2.59813798	5.54615542	0	100	0	0	3
116	22	0	1.63988404	101154.459	101153.888	101151.504	101156.459	2.33476534	5.54615542	0	100	0	0	3
117	22	0	1.65402097	101154.484	101153.916	101151.504	101156.459	1.9876237	5.54615542	0	100	0	0	3
118	23	0	1.6681579	101153.152	101153.83	101151.504	101156.459	1.92914578	5.54615542	0	100	0	0	3
119	23	0	1.68229483	101156.132	101153.887	101151.504	101156.459	1.92914578	5.54615542	0	100	0	0	3
120	23	0	1.69643177	101156.859	101154.013	101151.504	101156.859	1.92914578	5.54615542	0	100	0	0	3
121	23	0	1.7105687	101153.843	101154.046	101151.504	101156.859	1.92914578	5.54615542	0	100	0	0	3
122	23	0	1.72470563	101152.462	101154.025	101151.504	101156.859	1.92914578	5.54615542	0	100	0	0	3
123	24	0	1.73884256	101155.189	101154.065	101151.504	101156.859	1.92914578	5.54615542	0	100	0	0	3
124	24	0	1.75297949	101154.489	101154.122	101151.504	101156.859	1.92914578	5.54615542	0	100	0	0	3
125	24	0	1.76711642	101153.093	101154.087	101151.504	101156.859	1.92914578	5.54615542	0	100	0	0	3
126	24	0	1.78125335	101152.567	101154.05	101151.504	101156.859	1.92914578	5.54615542	0	100	0	0	3
127	24	0	1.79539029	101154.526	101154.087	101151.504	101156.859	1.92914578	5.54615542	0	100	0	0	3
128	24	0	1.80952722	101153.744	101154.099	101151.504	101156.859	1.92914578	5.54615542	0	100	0	0	3
129	25	0	1.82366415	101150.737	101154.008	101150.737	101156.859	1.92914578	5.54615542	0	100	0	0	3
