Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
52	10	0	0.735120432	31.4196351	31.5585859	31.2943347	32.7377725	1.44343783	0	0	0	0	0	3
53	11	0	0.749257363	31.3625009	31.5203839	31.2943347	32.396338	1.1020033	0	0	0	0	0	3
54	11	0	0.763394295	31.3470942	31.4912558	31.2943347	32.396338	1.1020033	0	0	0	0	0	3
55	11	0	0.777531226	31.3655662	31.4626233	31.2943347	31.8063986	0.512063905	0	0	0	0	0	3
56	11	0	0.791668157	31.3643811	31.450345	31.2943347	31.7133894	0.41905476	0	0	0	0	0	3
57	11	0	0.805805089	31.3000654	31.4388638	31.2943347	31.6422907	0.347956039	0	0	0	0	0	3
58	11	0	0.81994202	31.3668001	31.4372404	31.2943347	31.6422907	0.347956039	0	0	0	0	0	3
59	12	0	0.834078952	31.3220173	31.4335183	31.2943347	31.6422907	0.347956039	0	0	0	0	0	3
60	12	0	0.848215883	31.3543416	31.4322317	31.2943347	31.6422907	0.347956039	0	0	0	0	0	3
61	12	0	0.862352814	31.2979795	31.4266696	31.2943347	31.6422907	0.347956039	0	0	0	0	0	3
62	12	0	0.876489746	31.3086483	31.4224761	31.2943347	31.6422907	0.347956039	0	0	0	0	0	3
63	12	0	0.890626677	31.2602673	31.4149201	31.2602673	31.6422907	0.382023354	0	0	0	0	0	3
64	13	0	0.904763608	31.3258764	31.4108518	31.2602673	31.6422907	0.382023354	0	0	0	0	0	3
65	13	0	0.91890054	31.2405911	31.4034034	31.2405911	31.6422907	0.401699583	0	0	0	0	0	3
66	13	0	0.933037471	31.2813484	31.3966772	31.2405911	31.6422907	0.401699583	0	0	0	0	0	3
67	13	0	0.947174403	31.2396379	31.3883741	31.2396379	31.6422907	0.402652786	0	0	0	0	0	3
68	13	0	0.961311334	31.2675138	31.3779637	31.2396379	31.6086522	0.369014307	0	0	0	0	0	3
69	13	0	0.975448265	31.2383132	31.3688709	31.2383132	31.6086522	0.370339041	0	0	0	0	0	3
70	14	0	0.989585197	31.2640009	31.3592973	31.2383132	31.511129	0.272815849	0	0	0	0	0	3
71	14	0	1.00372213	31.2246636	31.3531049	31.2246636	31.511129	0.2864654	0.752763387	0	100	0	0	3
72	14	0	1.01785906	31.25294	31.345933	31.2246636	31.4592217	0.234558119	0.752763387	0	100	0	0	3
73	14	0	1.03199599	31.2564794	31.3423766	31.2246636	31.4592217	0.234558119	0.752763387	0	100	0	0	3
74	14	0	1.04613292	31.2910607	31.3377054	31.2246636	31.4588494	0.234185748	0.752763387	0	100	0	0	3
75	15	0	1.06026985	31.2328216	31.3325234	31.2246636	31.4588494	0.234185748	0.752763387	0	100	0	0	3
76	15	0	1.07440678	31.3294188	31.3289281	31.2246636	31.4541303	0.229466718	0.752763387	0	100	0	0	3
77	15	0	1.08854372	31.3446056	31.3271093	31.2246636	31.4541303	0.229466718	0.752763387	0	100	0	0	3
78	15	0	1.10268065	31.4000849	31.326077	31.2246636	31.4541303	0.229466718	0.752763387	0	100	0	0	3
79	15	0	1.11681758	31.2938406	31.3227584	31.2246636	31.4541303	0.229466718	0.752763387	0	100	0	0	3
80	15	0	1.13095451	31.3754391	31.3205725	31.2246636	31.4196351	0.194971491	0.752763387	0	100	0	0	3
81	16	0	1.14509144	31.3168643	31.3185914	31.2246636	31.4196351	0.194971491	0.752763387	0	100	0	0	3
82	16	0	1.15922837	31.3675625	31.3172328	31.2246636	31.4196351	0.194971491	0.752763387	0	100	0	0	3
83	16	0	1.1733653	31.3164903	31.3160124	31.2246636	31.4196351	0.194971491	0.752763387	0	100	0	0	3
84	16	0	1.18750224	31.35509	31.3155484	31.2246636	31.4196351	0.194971491	0.752763387	0	100	0	0	3
85	16	0	1.20163917	31.3479218	31.3170369	31.2246636	31.4196351	0.194971491	0.752763387	0	100	0	0	3
86	17	0	1.2157761	31.3960097	31.3175317	31.2246636	31.4196351	0.194971491	0.752763387	0	100	0	0	3
87	17	0	1.22991303	31.323738	31.3153225	31.2246636	31.4196351	0.194971491	0.752763387	0	100	0	0	3
88	17	0	1.24404996	31.4094275	31.3150389	31.2246636	31.4094275	0.184763897	0.752763387	0	100	0	0	3
89	17	0	1.25818689	31.3208309	31.3138814	31.2246636	31.4094275	0.177374387	0.752763387	0	100	0	0	3
90	17	0	1.27232382	31.3853035	31.3149428	31.2246636	31.4094275	0.148741839	0.752763387	0	100	0	0	3
91	17	0	1.28646076	31.2896996	31.3128354	31.2246636	31.4094275	0.137509611	0.752763387	0	100	0	0	3
92	18	0	1.30059769	31.3501059	31.3124389	31.2246636	31.4094275	0.12642492	0.752763387	0	100	0	0	3
93	18	0	1.31473462	31.2941709	31.3122751	31.2246636	31.4094275	0.124965292	0.752763387	0	100	0	0	3
94	18	0	1.32887155	31.3129581	31.3107795	31.2246636	31.4094275	0.122738796	0.752763387	0	100	0	0	3
95	18	0	1.34300848	31.2937885	31.3099954	31.2246636	31.4094275	0.12223628	0.752763387	0	100	0	0	3
96	18	0	1.35714541	31.3279962	31.3092636	31.2246636	31.4094275	0.117405971	0.752763387	0	100	0	0	3
97	19	0	1.37128234	31.2994398	31.3093041	31.2246636	31.4094275	0.113212506	0.752763387	0	100	0	0	3
98	19	0	1.38541928	31.3884202	31.31152	31.2246636	31.4094275	0.105656498	0.752763387	0	100	0	0	3
99	19	0	1.39955621	31.293425	31.3124411	31.2246636	31.4094275	0.101588235	0.752763387	0	100	0	0	3
100	19	0	1.41369314	31.3934814	31.314319	31.2246636	31.4094275	0.0941398175	0.752763387	0	100	0	0	3
101	20	0	1.42783007	31.3692566	31.317893	31.2246636	31.4094275	0.0874135795	0.752763387	0	100	0	0	3
102	20	0	1.441967	31.404981	31.3213273	31.2246636	31.4094275	0.0791105554	0.752763387	0	100	0	0	3
103	20	0	1.45610393	31.3702612	31.3249557	31.2246636	31.4094275	0.0687000854	0.752763387	0	100	0	0	3
104	20	0	1.47024086	31.3922363	31.3284202	31.2246636	31.4094275	0.0596073332	0.752763387	0	100	0	0	3
105	20	0	1.4843778	31.3585868	31.3317611	31.2246636	31.4094275	0.0500336856	0.752763387	0	100	0	0	3
106	20	0	1.49851473	31.3730747	31.334791	31.2246636	31.4094275	0.0438412904	0.752763387	0	100	0	0	3
107	21	0	1.51265166	31.3600255	31.338551	31.2328216	31.4094275	0.0366693722	0.752763387	0	100	0	0	3
108	21	0	1.52678859	31.4123834	31.34298	31.2328216	31.4123834	0.0337164296	0.752763387	0	100	0	0	3
109	21	0	1.54092552	31.3779443	31.346354	31.2328216	31.4123834	0.0370904545	0.752763387	0	100	0	0	3
110	21	0	1.55506245	31.3634539	31.348365	31.2328216	31.4123834	0.0391013773	0.752763387	0	100	0	0	3
111	21	0	1.56919938	31.388387	31.3526862	31.2896996	31.4123834	0.0434226368	0.752763387	0	100	0	0	3
112	22	0	1.58333631	31.4287102	31.3554443	31.2896996	31.4287102	0.0461807305	0.752763387	0	100	0	0	3
113	22	0	1.59747325	31.4225022	31.3576081	31.2896996	31.4287102	0.048344525	0.752763387	0	100	0	0	3
114	22	0	1.61161018	31.4514406	31.3590347	31.2896996	31.4514406	0.0497710723	0.752763387	0	100	0	0	3
115	22	0	1.62574711	31.4028185	31.3620618	31.2896996	31.4514406	0.0527982346	0.752763387	0	100	0	0	3
116	22	0	1.63988404	31.4851784	31.3651101	31.2896996	31.4851784	0.0558465487	0.752763387	0	100	0	0	3
117	22	0	1.65402097	31.4023042	31.3674835	31.2896996	31.4851784	0.0582198797	0.752763387	0	100	0	0	3
118	23	0	1.6681579	31.4622248	31.370113	31.2896996	31.4851784	0.060849389	0.752763387	0	100	0	0	3
119	23	0	1.68229483	31.3972696	31.3723568	31.2896996	31.4851784	0.0630932606	0.752763387	0	100	0	0	3
120	23	0	1.69643177	31.4664716	31.3754508	31.2896996	31.4851784	0.0661871943	0.752763387	0	100	0	0	3
121	23	0	1.7105687	31.4100632	31.3771769	31.2896996	31.4851784	0.0679133423	0.752763387	0	100	0	0	3
122	23	0	1.72470563	31.3825917	31.3768042	31.2896996	31.4851784	0.0679133423	0.752763387	0	100	0	0	3
123	24	0	1.73884256	31.3556947	31.3776919	31.2896996	31.4851784	0.0684283074	0.752763387	0	100	0	0	3
124	24	0	1.75297949	31.412175	31.3777682	31.2896996	31.4851784	0.0685046267	0.752763387	0	100	0	0	3
125	24	0	1.76711642	31.3373385	31.3782268	31.2896996	31.4851784	0.0689631735	0.752763387	0	100	0	0	3
126	24	0	1.78125335	31.4118163	31.3789632	31.2896996	31.4851784	0.0696996387	0.752763387	0	100	0	0	3
127	24	0	1.79539029	31.3666605	31.381101	31.293425	31.4851784	0.0718374401	0.752763387	0	100	0	0	3
128	24	0	1.80952722	31.393429	31.3823044	31.293425	31.4851784	0.0730408594	0.752763387	0	100	0	0	3
129	25	0	1.82366415	31.3577123	31.3840695	31.293425	31.4851784	0.074805899	0.752763387	0	100	0	0	3
